timestamp_ms,alpha,beta,gamma,a,b,c
1765810700334,27.3,2.6,1.1,-22.916721884932134,-87.17702828281814,-39.75831485665404
1765810700351,28.200000000000003,2.6,1,-21.023356994224383,-87.21444556914948,-40.75394925540904
1765810700367,29.900000000000002,2.6,1,-21.023356994224383,-87.21444556914948,-39.05394925540903
1765810700384,31.6,2.6,1,-21.023356994224383,-87.21444556914948,-37.35394925540905
1765810700401,32.4,2.6,1,-21.023356994224383,-87.21444556914948,-36.55394925540903
1765810700417,34.1,2.6,1,-21.023356994224383,-87.21444556914948,-34.85394925540904
1765810700436,35,2.6,1,-21.023356994224383,-87.21444556914948,-33.953949255409036
1765810700451,36.7,2.6,0.9,-19.080604603840374,-87.24873775753716,-34.19897111929089
1765810700467,38.300000000000004,2.6,0.8,-17.091149430481334,-87.2797866563377,-34.59069573505392
1765810700484,39.1,2.6,0.8,-17.091149430481334,-87.2797866563377,-33.790695735053916
1765810700501,40.7,2.5,0.9,-19.786535355093243,-87.3430306956242,-29.493826171437494
1765810700517,42.300000000000004,2.5,0.9,-19.786535355093243,-87.3430306956242,-27.8938261714375
1765810700534,43.1,2.6,0.8,-17.091149430481334,-87.2797866563377,-29.790695735053912
1765810700550,44.6,2.6,0.8,-17.091149430481334,-87.2797866563377,-28.290695735053916
1765810700567,46.2,2.6,0.7000000000000001,-15.058256042129896,-87.30748006279889,-28.725858538170822
1765810700584,46.900000000000006,2.6,0.8,-17.091149430481334,-87.2797866563377,-25.990695735053908
1765810700601,48.5,2.6,0.7000000000000001,-15.058256042129896,-87.30748006279889,-26.425858538170818
1765810700617,49.900000000000006,2.6,0.7000000000000001,-15.058256042129896,-87.30748006279889,-25.025858538170816
1765810700634,50.6,2.6,0.7000000000000001,-15.058256042129896,-87.30748006279889,-24.325858538170813
1765810700652,52,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-25.000614788511953
1765810700667,53.400000000000006,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-23.600614788511955
1765810700684,54.1,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-22.900614788511962
1765810700701,55.400000000000006,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-21.60061478851195
1765810700717,56,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-21.000614788511953
1765810700734,57.300000000000004,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-19.700614788511945
1765810700751,58.5,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-18.50061478851196
1765810700767,59.1,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-17.900614788511955
1765810700784,60.2,2.5,0.5,-11.30279914294298,-87.45052136228837,-18.48629074904113
1765810700800,61.400000000000006,2.6,0.5,-10.878097730261915,-87.35239195226701,-17.710555610474767
1765810700817,62,2.6,0.5,-10.878097730261915,-87.35239195226701,-17.11055561047478
1765810700834,63.2,2.6,0.6000000000000001,-12.98576918237089,-87.33171349765179,-13.800614788511965
1765810700851,64.5,2.6,0.7000000000000001,-15.058256042129896,-87.30748006279889,-10.425858538170823
1765810700867,65.2,2.5,0.8,-17.733574819417797,-87.37519642894884,-7.048968835018217
1765810700884,66.60000000000001,2.5,0.8,-17.733574819417797,-87.37519642894884,-5.648968835018216
1765810700901,68.2,2.5,0.9,-19.786535355093243,-87.3430306956242,-1.993826171437495
1765810700917,69,2.5,0.8,-17.733574819417797,-87.37519642894884,-3.248968835018225
1765810700934,70.7,2.4000000000000004,0.7000000000000001,-16.250812723396308,-87.50005732474675,-3.034524184558981
1765810700951,72.4,2.4000000000000004,0.6000000000000001,-14.02811122146023,-87.52617918549713,-3.5593204553882445
1765810700967,73.3,2.4000000000000004,0.6000000000000001,-14.02811122146023,-87.52617918549713,-2.659320455388262
1765810700984,75.10000000000001,2.5,0.5,-11.30279914294298,-87.45052136228837,-3.5862907490411304
1765810701000,77,2.5,0.5,-11.30279914294298,-87.45052136228837,-1.686290749041132
1765810701018,77.9,2.5,0.5,-11.30279914294298,-87.45052136228837,-0.78629074904114
1765810701034,79.80000000000001,2.6,0.4,-8.740180876077952,-87.36943158997343,-1.4507418172391773
1765810701051,81.7,2.6,0.4,-8.740180876077952,-87.36943158997343,0.44925818276081886
1765810701067,82.60000000000001,2.5,0.30000000000000004,-6.83844049379975,-87.48207568086752,-0.5550134679654294
1765810701084,84.5,2.5,0.2,-4.571021254252479,-87.49201782064308,-0.9246147257940178
1765810701101,86.30000000000001,2.5,0.2,-4.571021254252479,-87.49201782064308,0.8753852742059983
1765810701117,87.30000000000001,2.5,0.2,-4.571021254252479,-87.49201782064308,1.875385274206
1765810701134,89.10000000000001,2.4000000000000004,0.2,-4.7608584632478586,-87.59168594186178,3.865047870281814
1765810701151,90.9,2.4000000000000004,0.1,-2.3845488131439696,-87.59791878766349,3.2866435150664413
